cap,seed,config,layer1_max_load,layer1_pct_vs_c0,layer2_cycles,layer2_pct_vs_c0
400,0,C0,632.0,0.0,953146.0,0.0
400,0,C2,632.0,0.0,953146.0,0.0
400,0,C1,632.0,0.0,953146.0,0.0
400,0,C3n,632.0,0.0,953146.0,0.0
400,0,C3c,632.0,0.0,953146.0,0.0
400,1,C0,454.0,0.0,810858.0,0.0
400,1,C2,454.0,0.0,810858.0,0.0
400,1,C1,449.2,1.057,659491.2,18.667
400,1,C3n,442.0,2.643,641104.0,20.935
400,1,C3c,454.0,0.0,676200.0,16.607
400,2,C0,541.0,0.0,845191.0,0.0
400,2,C2,541.0,0.0,845191.0,0.0
400,2,C1,541.0,0.0,814825.8,3.593
400,2,C3n,541.0,0.0,815436.0,3.521
400,2,C3c,541.0,0.0,812385.0,3.881
400,3,C0,575.0,0.0,868078.0,0.0
400,3,C2,575.0,0.0,868078.0,0.0
400,3,C1,575.0,0.0,868078.0,0.0
400,3,C3n,575.0,0.0,868078.0,0.0
400,3,C3c,575.0,0.0,868078.0,0.0
400,4,C0,465.0,0.0,669715.0,0.0
400,4,C2,465.0,0.0,669715.0,0.0
400,4,C1,465.0,0.0,669486.0,0.034
400,4,C3n,465.0,0.0,668570.0,0.171
400,4,C3c,465.0,0.0,669715.0,0.0
400,5,C0,480.0,0.0,716634.0,0.0
400,5,C2,480.0,0.0,716634.0,0.0
400,5,C1,480.0,0.0,716634.0,0.0
400,5,C3n,480.0,0.0,716634.0,0.0
400,5,C3c,480.0,0.0,716634.0,0.0
600,0,C0,632.0,0.0,953146.0,0.0
600,0,C2,632.0,0.0,953146.0,0.0
600,0,C1,598.0,5.38,895315.0,6.067
600,0,C3n,466.0,26.266,786061.0,17.53
600,0,C3c,466.0,26.266,786443.0,17.49
600,1,C0,454.0,0.0,810858.0,0.0
600,1,C2,454.0,0.0,810858.0,0.0
600,1,C1,441.0,2.863,677191.4,16.485
600,1,C3n,401.0,11.674,740667.0,8.656
600,1,C3c,454.0,0.0,676200.0,16.607
600,2,C0,541.0,0.0,845191.0,0.0
600,2,C2,541.0,0.0,845191.0,0.0
600,2,C1,514.6,4.88,743489.0,12.033
600,2,C3n,439.0,18.854,729975.0,13.632
600,2,C3c,439.0,18.854,729975.0,13.632
600,3,C0,575.0,0.0,868078.0,0.0
600,3,C2,575.0,0.0,868078.0,0.0
600,3,C1,523.4,8.974,793386.6,8.604
600,3,C3n,451.0,21.565,750968.0,13.491
600,3,C3c,451.0,21.565,753638.0,13.183
600,4,C0,465.0,0.0,669715.0,0.0
600,4,C2,465.0,0.0,669715.0,0.0
600,4,C1,453.2,2.538,667959.4,0.262
600,4,C3n,406.0,12.688,728077.0,-8.714
600,4,C3c,465.0,0.0,651023.0,2.791
600,5,C0,480.0,0.0,716634.0,0.0
600,5,C2,480.0,0.0,716634.0,0.0
600,5,C1,472.8,1.5,694051.2,3.151
600,5,C3n,416.0,13.333,729987.0,-1.863
600,5,C3c,468.0,2.5,672384.0,6.175
1000000000,0,C0,632.0,0.0,953146.0,0.0
1000000000,0,C2,632.0,0.0,953146.0,0.0
1000000000,0,C1,466.0,26.266,793680.0,16.73
1000000000,0,C3n,466.0,26.266,793680.0,16.73
1000000000,0,C3c,466.0,26.266,793680.0,16.73
1000000000,1,C0,454.0,0.0,810858.0,0.0
1000000000,1,C2,454.0,0.0,810858.0,0.0
1000000000,1,C1,401.0,11.674,747563.0,7.806
1000000000,1,C3n,401.0,11.674,747563.0,7.806
1000000000,1,C3c,401.0,11.674,747563.0,7.806
1000000000,2,C0,541.0,0.0,845191.0,0.0
1000000000,2,C2,541.0,0.0,845191.0,0.0
1000000000,2,C1,439.0,18.854,729975.0,13.632
1000000000,2,C3n,439.0,18.854,729975.0,13.632
1000000000,2,C3c,439.0,18.854,729975.0,13.632
1000000000,3,C0,575.0,0.0,868078.0,0.0
1000000000,3,C2,575.0,0.0,868078.0,0.0
1000000000,3,C1,451.0,21.565,757968.0,12.684
1000000000,3,C3n,451.0,21.565,757968.0,12.684
1000000000,3,C3c,451.0,21.565,757968.0,12.684
1000000000,4,C0,465.0,0.0,669715.0,0.0
1000000000,4,C2,465.0,0.0,669715.0,0.0
1000000000,4,C1,406.0,12.688,737788.0,-10.164
1000000000,4,C3n,406.0,12.688,737788.0,-10.164
1000000000,4,C3c,406.0,12.688,737788.0,-10.164
1000000000,5,C0,480.0,0.0,716634.0,0.0
1000000000,5,C2,480.0,0.0,716634.0,0.0
1000000000,5,C1,416.0,13.333,737224.0,-2.873
1000000000,5,C3n,416.0,13.333,737224.0,-2.873
1000000000,5,C3c,416.0,13.333,737224.0,-2.873
