variant,threads,run,bytes,elapsed_us,bytes_per_us,dups
mulrot,1,1,134217728,53061.2,2529.5,16426
mulrot,1,2,134217728,52698.1,2546.9,16426
mulrot,1,3,134217728,51640.2,2599.1,16426
mulrot,1,4,134217728,51589.9,2601.6,16426
mulrot,1,5,134217728,51957.6,2583.2,16426
mulrot,2,1,134217728,25814.8,5199.3,11550
mulrot,2,2,134217728,25707.7,5220.9,11550
mulrot,2,3,134217728,25460.8,5271.5,11550
mulrot,2,4,134217728,25524.1,5258.5,11550
mulrot,2,5,134217728,25508.5,5261.7,11550
mulrot,4,1,134217728,12633.2,10624.2,7673
mulrot,4,2,134217728,12594.2,10657.1,7673
mulrot,4,3,134217728,12574.4,10673.9,7673
mulrot,4,4,134217728,12587.6,10662.7,7673
mulrot,4,5,134217728,12677.5,10587.0,7673
mulrot,8,1,134217728,6329.6,21204.8,4861
mulrot,8,2,134217728,6352.6,21127.8,4861
mulrot,8,3,134217728,6342.4,21162.0,4861
mulrot,8,4,134217728,6302.4,21296.1,4861
mulrot,8,5,134217728,9788.6,13711.6,4861
mulrot,16,1,134217728,4726.3,28398.1,3010
mulrot,16,2,134217728,4802.4,27948.3,3010
mulrot,16,3,134217728,3336.9,40222.9,3010
mulrot,16,4,134217728,4721.0,28430.0,3010
mulrot,16,5,134217728,4159.8,32265.7,3010
crc32c,1,1,134217728,31705.7,4233.2,16426
crc32c,1,2,134217728,30220.7,4441.3,16426
crc32c,1,3,134217728,30073.1,4463.0,16426
crc32c,1,4,134217728,30385.2,4417.2,16426
crc32c,1,5,134217728,30446.6,4408.3,16426
crc32c,2,1,134217728,15640.6,8581.4,11550
crc32c,2,2,134217728,16328.4,8219.9,11550
crc32c,2,3,134217728,15418.1,8705.2,11550
crc32c,2,4,134217728,16317.2,8225.6,11550
crc32c,2,5,134217728,15329.7,8755.4,11550
crc32c,4,1,134217728,7823.3,17156.1,7673
crc32c,4,2,134217728,7959.6,16862.4,7673
crc32c,4,3,134217728,7835.8,17128.8,7673
crc32c,4,4,134217728,8445.6,15892.1,7673
crc32c,4,5,134217728,8284.7,16200.7,7673
crc32c,8,1,134217728,4115.6,32612.3,4861
crc32c,8,2,134217728,4450.7,30156.4,4861
crc32c,8,3,134217728,4106.0,32688.3,4861
crc32c,8,4,134217728,4325.9,31026.6,4861
crc32c,8,5,134217728,4441.9,30216.4,4861
crc32c,16,1,134217728,2625.7,51116.3,3010
crc32c,16,2,134217728,1261.9,106364.9,3010
crc32c,16,3,134217728,2714.7,49441.7,3010
crc32c,16,4,134217728,2723.0,49291.1,3010
crc32c,16,5,134217728,2581.2,51998.9,3010
