variant,threads,run,bytes,elapsed_us,bytes_per_us,dups
mulrot,1,1,536870912,217672.9,2466.4,65211
mulrot,1,2,536870912,216583.8,2478.8,65211
mulrot,1,3,536870912,211792.5,2534.9,65211
mulrot,1,4,536870912,213747.1,2511.7,65211
mulrot,1,5,536870912,212101.2,2531.2,65211
mulrot,2,1,536870912,105065.4,5109.9,45904
mulrot,2,2,536870912,105460.2,5090.7,45904
mulrot,2,3,536870912,105222.6,5102.2,45904
mulrot,2,4,536870912,105716.5,5078.4,45904
mulrot,2,5,536870912,104992.5,5113.4,45904
mulrot,4,1,536870912,52243.4,10276.3,30371
mulrot,4,2,536870912,52154.8,10293.8,30371
mulrot,4,3,536870912,52123.7,10299.9,30371
mulrot,4,4,536870912,52018.4,10320.8,30371
mulrot,4,5,536870912,52003.3,10323.8,30371
mulrot,8,1,536870912,26161.3,20521.6,19164
mulrot,8,2,536870912,26137.2,20540.5,19164
mulrot,8,3,536870912,26056.7,20603.9,19164
mulrot,8,4,536870912,25996.5,20651.7,19164
mulrot,8,5,536870912,26023.8,20630.0,19164
mulrot,16,1,536870912,13682.2,39238.8,11629
mulrot,16,2,536870912,13502.7,39760.3,11629
mulrot,16,3,536870912,19445.0,27609.7,11629
mulrot,16,4,536870912,19035.6,28203.6,11629
mulrot,16,5,536870912,19302.3,27813.8,11629
crc32c,1,1,536870912,127790.9,4201.2,65211
crc32c,1,2,536870912,123818.5,4336.0,65211
crc32c,1,3,536870912,122563.4,4380.4,65211
crc32c,1,4,536870912,124378.8,4316.4,65211
crc32c,1,5,536870912,125894.3,4264.5,65211
crc32c,2,1,536870912,67107.5,8000.2,45904
crc32c,2,2,536870912,63222.0,8491.8,45904
crc32c,2,3,536870912,62922.3,8532.3,45904
crc32c,2,4,536870912,63332.1,8477.1,45904
crc32c,2,5,536870912,63138.1,8503.1,45904
crc32c,4,1,536870912,32495.1,16521.6,30371
crc32c,4,2,536870912,32231.4,16656.8,30371
crc32c,4,3,536870912,32345.0,16598.3,30371
crc32c,4,4,536870912,32258.0,16643.0,30371
crc32c,4,5,536870912,32065.1,16743.2,30371
crc32c,8,1,536870912,18058.2,29730.1,19164
crc32c,8,2,536870912,17200.7,31212.1,19164
crc32c,8,3,536870912,18096.9,29666.4,19164
crc32c,8,4,536870912,17210.9,31193.7,19164
crc32c,8,5,536870912,17223.0,31171.7,19164
crc32c,16,1,536870912,11043.1,48616.0,11629
crc32c,16,2,536870912,10958.2,48992.4,11629
crc32c,16,3,536870912,10908.8,49214.5,11629
crc32c,16,4,536870912,10564.8,50817.1,11629
crc32c,16,5,536870912,11320.8,47423.6,11629
