num_gpus,num_domains,seed,cap,raw_max,greedy_obj,opt_obj,gap_abs,ratio,is_optimal
32,4,0,541,632,466,466,0,1.0,True
32,4,1,408,454,454,401,53,1.13217,False
32,4,2,498,541,439,439,0,1.0,True
32,4,3,486,575,451,451,0,1.0,True
32,4,4,418,465,465,406,59,1.14532,False
32,4,5,424,480,480,416,64,1.153846,False
64,8,0,491,651,465,465,0,1.0,True
64,8,1,483,444,444,401,43,1.107232,False
64,8,2,388,393,393,384,9,1.023438,False
64,8,3,474,416,416,386,30,1.07772,False
64,8,4,483,420,420,395,25,1.063291,False
64,8,5,470,446,446,406,40,1.098522,False
128,16,0,395,395,395,374,21,1.05615,False
128,16,1,406,369,369,363,6,1.016529,False
128,16,2,486,441,441,401,40,1.099751,False
128,16,3,402,377,377,370,7,1.018919,False
128,16,4,404,355,355,353,2,1.005666,False
128,16,5,396,423,423,387,36,1.093023,False
