num_experts,experts_per_gpu,seed,raw_max,dedup_max,gain_pct,dedup_frac_pct
16,1,0,252,218,13.492063492063492,7.552083333333333
16,1,1,275,227,17.454545454545453,10.842586544741998
16,1,2,249,215,13.654618473895582,7.7071290944123305
16,1,3,238,219,7.983193277310924,5.5627425614489
16,1,4,251,220,12.350597609561753,6.7144719687092564
16,1,5,327,239,26.91131498470948,17.755775577557756
32,2,0,329,238,27.659574468085108,17.673814165042234
32,2,1,235,205,12.76595744680851,8.088714938030005
32,2,2,271,221,18.45018450184502,12.70967741935484
32,2,3,305,231,24.262295081967213,15.029277813923228
32,2,4,242,207,14.462809917355372,8.214747736093143
32,2,5,250,214,14.4,9.155844155844155
64,4,0,344,237,31.1046511627907,21.513157894736842
64,4,1,229,201,12.22707423580786,9.87012987012987
64,4,2,247,207,16.194331983805668,8.495460440985733
64,4,3,292,226,22.602739726027398,14.75826972010178
64,4,4,229,206,10.043668122270743,7.8277886497064575
64,4,5,239,209,12.552301255230125,9.87012987012987
128,8,0,290,219,24.482758620689655,14.873837981407704
128,8,1,218,193,11.46788990825688,8.840864440078585
128,8,2,349,238,31.80515759312321,22.62678803641092
128,8,3,291,222,23.711340206185568,15.022860875244938
128,8,4,248,206,16.93548387096774,11.350293542074363
128,8,5,233,205,12.017167381974248,8.893280632411066
256,16,0,219,196,10.502283105022832,7.383419689119171
256,16,1,318,232,27.044025157232703,18.31619537275064
256,16,2,209,184,11.961722488038278,9.664694280078894
256,16,3,265,216,18.49056603773585,11.337579617834395
256,16,4,332,237,28.6144578313253,19.215938303341904
256,16,5,266,211,20.67669172932331,13.799869195552649
