num_gpus,num_domains,seed,cap,c0,old,new,old_vs_c0,new_vs_c0,fixb,served_old,served_new
128,32,0,203,2143701,2203573,2133783,-2.7929,0.4627,3.1671,108,814
128,32,1,0,2099066,2099066,2099066,0.0,0.0,0.0,0,0
128,32,2,249,2487787,2384009,2485117,4.1715,0.1073,-4.2411,123,864
128,32,3,204,2135311,2203193,2134548,-3.179,0.0357,3.1157,100,835
128,32,4,204,2087242,2182212,2086479,-4.55,0.0366,4.387,100,829
128,32,5,203,2153236,2223412,2148659,-3.2591,0.2126,3.3621,99,819
256,64,0,0,4121607,4121607,4121607,0.0,0.0,0.0,0,0
256,64,1,203,4441660,4379829,4441660,1.3921,0.0,-1.4117,197,2687
256,64,2,0,4110923,4110923,4110923,0.0,0.0,0.0,0,0
256,64,3,0,4170051,4170051,4170051,0.0,0.0,0.0,0,0
256,64,4,204,4133811,4218857,4135337,-2.0573,-0.0369,1.9797,210,2762
256,64,5,204,4162799,4236782,4152882,-1.7772,0.2382,1.9803,203,2684
512,128,0,204,8377249,8352419,8372672,0.2964,0.0546,-0.2425,416,7463
512,128,1,204,8273108,8288339,8271583,-0.1841,0.0184,0.2022,418,7471
512,128,2,0,8181554,8181554,8181554,0.0,0.0,0.0,0,0
512,128,3,204,8692340,8502718,8689290,2.1815,0.0351,-2.1943,405,7331
512,128,4,0,8091907,8091907,8091907,0.0,0.0,0.0,0,0
512,128,5,0,8108689,8108689,8108689,0.0,0.0,0.0,0,0
