bw_gbs,dpu_bytes_per_us,seed,cap,c0,old,new,new_vs_c0,old_vs_c0
5,20500,0,541,953146,786443,786443,17.4898,17.4898
5,20500,1,408,810858,742575,676200,16.6069,8.4211
5,20500,2,498,845191,723120,723120,14.443,14.443
5,20500,3,486,868078,753638,753638,13.1831,13.1831
5,20500,4,418,669715,734944,669715,0.0,-9.7398
5,20500,5,424,716634,731894,716634,0.0,-2.1294
5,50000,0,541,953146,786443,786443,17.4898,17.4898
5,50000,1,408,810858,742575,742575,8.4211,8.4211
5,50000,2,498,845191,723120,723120,14.443,14.443
5,50000,3,486,868078,753638,753638,13.1831,13.1831
5,50000,4,418,669715,734944,734944,-9.7398,-9.7398
5,50000,5,424,716634,731894,731894,-2.1294,-2.1294
5,83900,0,541,953146,786443,786443,17.4898,17.4898
5,83900,1,408,810858,742575,742575,8.4211,8.4211
5,83900,2,498,845191,723120,723120,14.443,14.443
5,83900,3,486,868078,753638,753638,13.1831,13.1831
5,83900,4,418,669715,734944,734944,-9.7398,-9.7398
5,83900,5,424,716634,731894,731894,-2.1294,-2.1294
10,20500,0,541,477073,400094,400094,16.1357,16.1357
10,20500,1,408,405927,371785,338599,16.5862,8.4109
10,20500,2,498,423094,375922,406691,3.8769,11.1493
10,20500,3,486,434538,386270,434538,0.0,11.1079
10,20500,4,418,335357,367971,335357,0.0,-9.7252
10,20500,5,424,358815,366445,358815,0.0,-2.1264
10,50000,0,541,477073,393720,393720,17.4717,17.4717
10,50000,1,408,405927,371785,327727,19.2645,8.4109
10,50000,2,498,423094,362058,362058,14.4261,14.4261
10,50000,3,486,434538,377318,377318,13.168,13.168
10,50000,4,418,335357,367971,324104,3.3555,-9.7252
10,50000,5,424,358815,366445,347944,3.0297,-2.1264
10,83900,0,541,477073,393720,393720,17.4717,17.4717
10,83900,1,408,405927,371785,371785,8.4109,8.4109
10,83900,2,498,423094,362058,362058,14.4261,14.4261
10,83900,3,486,434538,377318,377318,13.168,13.168
10,83900,4,418,335357,367971,314758,6.1424,-9.7252
10,83900,5,424,358815,366445,366445,-2.1264,-2.1264
20,20500,0,541,239036,222761,239036,0.0,6.8086
20,20500,1,408,203462,192822,169798,16.5456,5.2295
20,20500,2,498,212046,208889,203845,3.8676,1.4888
20,20500,3,486,217769,215942,217769,0.0,0.839
20,20500,4,418,168177,189820,168177,0.0,-12.8692
20,20500,5,424,179907,198686,179907,0.0,-10.4382
20,50000,0,541,239036,197359,197359,17.4354,17.4354
20,50000,1,408,203462,186391,169798,16.5456,8.3903
20,50000,2,498,212046,184461,203845,3.8676,13.009
20,50000,3,486,217769,190133,217769,0.0,12.6905
20,50000,4,418,168177,184484,168177,0.0,-9.6963
20,50000,5,424,179907,183720,179907,0.0,-2.1194
20,83900,0,541,239036,197359,197359,17.4354,17.4354
20,83900,1,408,203462,186391,164362,19.2173,8.3903
20,83900,2,498,212046,181529,181529,14.3917,14.3917
20,83900,3,486,217769,189156,189156,13.1392,13.1392
20,83900,4,418,168177,184484,168177,0.0,-9.6963
20,83900,5,424,179907,183720,179907,0.0,-2.1194
50,20500,0,541,96212,117303,96212,0.0,-21.9214
50,20500,1,408,81982,101728,68518,16.4231,-24.0858
50,20500,2,498,85417,109953,82137,3.84,-28.725
50,20500,3,486,87705,113977,87705,0.0,-29.955
50,20500,4,418,67870,99926,67870,0.0,-47.2315
50,20500,5,424,72562,104673,72562,0.0,-44.2532
50,50000,0,541,96212,90303,96212,0.0,6.1416
50,50000,1,408,81982,78728,68518,16.4231,3.9692
50,50000,2,498,85417,84953,82137,3.84,0.5432
50,50000,3,486,87705,87977,87705,0.0,-0.3101
50,50000,4,418,67870,76926,67870,0.0,-13.3432
50,50000,5,424,72562,80673,72562,0.0,-11.178
50,83900,0,541,96212,83303,96212,0.0,13.4172
50,83900,1,408,81982,75154,68518,16.4231,8.3287
50,83900,2,498,85417,78182,82137,3.84,8.4702
50,83900,3,486,87705,80053,87705,0.0,8.7247
50,83900,4,418,67870,74391,67870,0.0,-9.6081
50,83900,5,424,72562,74979,72562,0.0,-3.3309
