gpus_per_domain,num_domains,seed,cap,dpu_bytes_per_us,c0_cycles,old_cycles,new_cycles,old_vs_c0_pct,new_vs_c0_pct,fixb_delta_pct
4,4,0,237,20500,392004,377508,362250,3.697921449781125,7.590228671136009,4.04176865126037
4,4,0,237,50000,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
4,4,0,237,83900,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
4,4,0,237,100000,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
2,8,0,120,20500,311131,337832,310368,-8.58191565610627,0.24523432252009603,8.12948447749177
2,8,0,120,50000,311131,337832,308842,-8.58191565610627,0.7357029675602881,8.58118828293353
2,8,0,120,83900,311131,337832,303502,-8.58191565610627,2.4520218171766874,10.161855596864713
2,8,0,120,100000,311131,337832,306171,-8.58191565610627,1.5941838003927606,9.37181794501409
1,16,0,0,20500,289001,289001,289001,0.0,0.0,0.0
1,16,0,0,50000,289001,289001,289001,0.0,0.0,0.0
1,16,0,0,83900,289001,289001,289001,0.0,0.0,0.0
1,16,0,0,100000,289001,289001,289001,0.0,0.0,0.0
